   ascii  count char hex
1     32 221027       20
2    101 115855    e  65
3    116  85539    t  74
4     97  75266    a  61
5    111  68337    o  6f
6    110  64431    n  6e
7    115  62022    s  73
8    105  61890    i  69
9    104  61434    h  68
10   114  51311    r  72
11   108  41893    l  6c
12   100  37468    d  64
13   117  26457    u  75
14   109  22525    m  6d
15    99  21359    c  63
16   119  20917    w  77
17   103  20180    g  67
18   102  20029    f  66
19    44  19229    ,  2c
20   121  16541    y  79
21   112  16207    p  70
22    98  15450    b  62
23   118   8427    v  76
24   107   7881    k  6b
25    46   7558    .  2e
26    45   5984    -  2d
27    59   4174    ;  3b
28    73   3544    I  49
29    34   3071    "  22
30    39   2922    '  27
31    65   2651    A  41
32    84   2458    T  54
33    83   2209    S  53
34    33   1767    !  21
35    72   1464    H  48
36    66   1427    B  42
37    87   1306    W  57
38    69   1239    E  45
39   113   1234    q  71
40    78   1186    N  4e
41    67   1148    C  43
42    80   1048    P  50
43   120   1007    x  78
44    63   1004    ?  3f
45    79    990    O  4f
46    76    901    L  4c
47   106    829    j  6a
48    82    824    R  52
49    70    804    F  46
50    77    752    M  4d
51    68    751    D  44
52    71    640    G  47
53   122    594    z  7a
54    89    331    Y  59
55    81    322    Q  51
56    74    253    J  4a
57    85    240    U  55
58    40    215    (  28
59    41    215    )  29
60    58    196    :  3a
61    75    178    K  4b
62    86    171    V  56
63    49    140    1  31
64    48    131    0  30
65    50     60    2  32
66    56     58    8  38
67    53     54    5  35
68    55     53    7  37
69    51     47    3  33
70    42     45    *  2a
71    52     39    4  34
72    90     38    Z  5a
73    54     37    6  36
74    57     35    9  39
75    95     26    _  5f
76    88     23    X  58
77    36      2    $  24
78    38      2    &  26
79    91      2    [  5b
80    93      2    ]  5d
